Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,ch_scaled,overall
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=40-scaling=minmax,0.19694997287728952,4.686299924175929,110.90486652802237,0.05811727970297368,0.22495508558181476
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=50-scaling=none,0.18183989912822315,11.242773970222775,65.4611142662321,0.029482231598045062,0.2068094613590753
sklearn.neighbors.LocalOutlierFactor-n_neighbors=20-leaf_size=50-scaling=none,0.0833575506821802,17.33015175185472,18.672883844657107,0.0,0.1805596116193485
sklearn.neighbors.LocalOutlierFactor-n_neighbors=20-leaf_size=20-scaling=standard,0.36425016077483013,3.3337308455646535,305.3796971988274,0.18065989236787613,0.31054964249373795
sklearn.neighbors.LocalOutlierFactor-n_neighbors=30-leaf_size=30-scaling=standard,0.35663667285149464,4.475292647773507,383.916247982051,0.23014739720060717,0.3103277031133845
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=30-scaling=minmax,0.19694997287728952,4.686299924175929,110.90486652802237,0.05811727970297368,0.22495508558181476
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=30-scaling=none,0.18183989912822315,11.242773970222775,65.4611142662321,0.029482231598045062,0.2068094613590753
sklearn.neighbors.LocalOutlierFactor-n_neighbors=40-leaf_size=20-scaling=none,0.16018487143307658,20.36750105413339,19.233190926798716,0.0003530610799528447,0.1934818332170116
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=10-scaling=none,0.10122806678694325,14.129959220709948,25.565226794602502,0.004343007830656123,0.1849861672019171
sklearn.neighbors.LocalOutlierFactor-n_neighbors=40-leaf_size=40-scaling=minmax,0.2642961432214797,3.140943833714176,817.1394920473784,0.5031303226095745,0.4060592001446417
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=30-scaling=standard,0.2776270871589068,3.5718396214379586,741.1731416619177,0.45526235420080047,0.38291586954379925
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=40-scaling=standard,0.4021830602561871,3.839115846643763,194.00289655933597,0.11047906694412538,0.2845632437334222
