JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,KWHKVARH,RPLWBP,RPWBP,RPBLOK3,RPKVARH,RPBEBAN,RPPTL,RPPPN,RPBPJU,RPTRAFO,RPSEWATRAFO,RPSEWAKAP,RPANGSA,RPANGSB,RPANGSC,RPMAT,RPPLN,RPTAG,RPTAG_MAT,RPPRODUKSI,RPSUBSIDI,RPBK1,RPBK2,RPBK3,RPTDLLAMA,RPTDLBARU,RPSELISIH,RPREDUKSI,RPDISKON,RPPPN_R3,RPPPN_BPTRAFO,RPPPN_SEWATRAFO,RPPPN_OPSPARAREL,RPPPN_SEWAKAP,RPPPN_LAIN
"422,22",30,30,130,190,"0,00","5070,00","10800,00","64350,00","0,00","4950,00","85170,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"85170,00","85170,00","85170,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"83,33",20,40,15,75,"0,00","5500,00","17800,00","7425,00","0,00","18000,00","48725,00","0,00","2924,00",0,"0,00",0,"0,00","0,00","0,00",0,"48725,00","51649,00","51649,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"720,00",30,30,264,324,"0,00","5070,00","10800,00","130680,00","0,00","4950,00","151500,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"151500,00","151500,00","151500,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"206,66",20,40,126,186,"0,00","5500,00","17800,00","62370,00","0,00","18000,00","103670,00","0,00","6220,00",0,"0,00",0,"0,00","0,00","0,00",0,"103670,00","109890,00","109890,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"0,00",0,0,0,0,"0,00","0,00","0,00","0,00","0,00","4950,00","4950,00","0,00","0,00",0,"0,00",0,"0,00","0,00","0,00",0,"4950,00","4950,00","4950,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"197,77",20,40,118,178,"0,00","5500,00","17800,00","58410,00","0,00","18000,00","99710,00","0,00","5983,00",0,"0,00",0,"0,00","0,00","0,00",0,"99710,00","105693,00","105693,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"176,66",20,40,99,159,"0,00","5500,00","17800,00","49005,00","0,00","18000,00","90305,00","0,00","5418,00",0,"0,00",0,"0,00","0,00","0,00",0,"90305,00","95723,00","95723,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"134,44",20,40,61,121,"0,00","5500,00","17800,00","30195,00","0,00","18000,00","71495,00","0,00","4290,00",0,"0,00",0,"0,00","0,00","0,00",0,"71495,00","75785,00","75785,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"71,11",20,40,4,64,"0,00","5500,00","17800,00","1980,00","0,00","18000,00","43280,00","0,00","2597,00",0,"0,00",0,"0,00","0,00","0,00",0,"43280,00","45877,00","45877,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"106,66",20,40,36,96,"0,00","5500,00","17800,00","17820,00","0,00","18000,00","59120,00","0,00","3547,00",0,"0,00",0,"0,00","0,00","0,00",0,"59120,00","62667,00","62667,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
"162,22",20,40,86,146,"0,00","5500,00","17800,00","42570,00","0,00","18000,00","83870,00","0,00","5032,00",0,"0,00",0,"0,00","0,00","0,00",0,"83870,00","88902,00","88902,00","0,00","0,00","3000,00","6000,00","9000,00","0,00","0,00",0,"0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
