Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Overall,Inertia
sklearn.svm.OneClassSVM-kernel=poly-nu=0.5-shrinking=False-scaling=minmax,0.42142009168516426,1.021163217937522,18506.403147464098,0.6201559046402999,
sklearn.svm.OneClassSVM-kernel=linear-nu=0.5-shrinking=False-scaling=standard,0.49100528199241866,1.6170001358169028,6588.122295076181,0.5383703242413628,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.5577020066304362,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.75-shrinking=False-scaling=none,0.5767454054737965,0.5770709003970566,67704.41168157737,0.7537932089379042,
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=standard,-0.3765841635278522,1.4719304255352303,451.399302748818,0.3425033352205045,
sklearn.svm.OneClassSVM-kernel=poly-nu=0.75-shrinking=False-scaling=minmax,0.442800911801145,0.7885757141929873,17440.348859899783,0.673174800934187,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=False-scaling=minmax,0.4213426335611619,1.0210972215430474,18502.606558295854,0.6201493885775379,
sklearn.ensemble.IsolationForest-n_estimators=300-random_state=42-scaling=minmax,0.5883033223939074,2.0728641212852836,8627.124277553487,0.508838227042381,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.75-shrinking=False-scaling=standard,-0.05616072381200579,4.946653398325481,340.5304969307787,0.24301681785746196,
sklearn.cluster.KMeans-n_clusters=4-random_state=42-scaling=none,0.5195518591484705,0.585145142878417,90296.93396748923,0.7376375224150641,47028205721722.28
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.25-shrinking=True-scaling=none,0.40572248196284166,5.030935134281565,1511.1382164853144,0.35792092008135457,
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=minmax,0.6694536461302952,2.1189169567274555,107.56896860523167,0.5246351550279048,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=none,0.23006503464424877,5.653641453057211,854.6081370822135,0.31100874961493447,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=False-scaling=standard,0.246104140684747,5.6534922098448614,811.1577636820649,0.31501904557372534,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=True-scaling=none,0.5279064213842781,0.636546685950761,62818.1784732845,0.7280041877220844,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=standard,-0.21014934449923597,1.539157433521068,787.8039958467515,0.37412045640871466,
sklearn.cluster.KMeans-n_clusters=6-random_state=42-scaling=minmax,0.5083322822760431,0.5546019796148473,73989.71927051476,0.7418804456653165,713.0409231408648
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=True-scaling=standard,0.246104140684747,5.6534922098448614,811.1577636820649,0.31501904557372534,
sklearn.linear_model.SGDOneClassSVM-nu=0.25-learning_rate=optimal-random_state=42-scaling=minmax,0.46991321050145346,1.2403812456762753,17499.65842525946,0.5918479340000014,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=minmax,0.2039724190308871,3.708731395563255,1524.3243109226491,0.32491539822043314,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=none,0.9628318616856973,2.03200918876565,767.1351528296469,0.6065908790156056,
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=minmax,0.7240117670399939,1.3192533400680457,291.4249118290779,0.6419454868155996,
sklearn.svm.OneClassSVM-kernel=poly-nu=0.75-shrinking=False-scaling=standard,0.4335759069134686,3.9684942739063267,2049.6024809395244,0.3769451966907357,
sklearn.svm.OneClassSVM-kernel=linear-nu=0.25-shrinking=True-scaling=standard,0.5831420146024759,1.1645546568213136,13017.076294780463,0.6336261692621203,
sklearn.linear_model.SGDOneClassSVM-nu=0.75-learning_rate=optimal-random_state=42-scaling=minmax,0.4379897965090616,0.8580841057036408,18538.164811653864,0.6572372353681397,
sklearn.cluster.DBSCAN-eps=1.0-min_samples=7-scaling=standard,0.6720171908821111,1.564827809576252,1589.65938180955,0.5909592766154736,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=5-scaling=standard,-0.03820321558151589,1.480520275866483,731.2774156720068,0.4257980436632157,
sklearn.cluster.DBSCAN-eps=0.7-min_samples=11-scaling=minmax,0.6993311869045199,1.1134665087015554,173.27588914276083,0.6720579859036359,
sklearn.cluster.DBSCAN-eps=0.7-min_samples=5-scaling=none,0.965655034990164,1.8445436005045637,865.388563707067,0.6279285733327737,
sklearn.cluster.DBSCAN-eps=1.0-min_samples=9-scaling=none,0.9601314421907987,2.137094673597486,734.7364173327243,0.5955762102035933,
sklearn.cluster.KMeans-n_clusters=7-random_state=42-scaling=standard,0.543955097215027,0.5511499618126797,34893.596867038475,0.7515864245401485,130723.09202064079
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=none,0.9601314421907987,2.137094673597486,734.7364173327243,0.5955762102035933,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.25-shrinking=True-scaling=standard,0.37702451038642953,4.31186487553688,1646.232936427317,0.3574872390019873,
sklearn.cluster.DBSCAN-eps=0.7-min_samples=3-scaling=none,0.9758844088141572,1.8624640694766894,988.8167578286134,0.6283872052339645,
sklearn.cluster.KMeans-n_clusters=5-random_state=42-scaling=minmax,0.5254237251916896,0.5324899821829143,72254.90457082892,0.7512922579971382,885.487589097837
