Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Inertia,ch_scaled,overall
sklearn.svm.OneClassSVM-kernel=poly-nu=0.5-shrinking=False-scaling=minmax,0.42142009168516426,1.021163217937522,18506.403147464098,,0.16386379575115106,0.46805853501058364
sklearn.svm.OneClassSVM-kernel=linear-nu=0.5-shrinking=False-scaling=standard,0.49100528199241866,1.6170001358169028,6588.122295076181,,0.05774118628525305,0.3781606115893262
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,,0.0005683033741832992,0.37199077221168525
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.75-shrinking=False-scaling=none,0.5767454054737965,0.5770709003970566,67704.41168157737,,0.6019320969457441,0.7031728382738508
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=standard,-0.3765841635278522,1.4719304255352303,451.399302748818,,0.0030986530557502385,0.2293684411655864
sklearn.svm.OneClassSVM-kernel=poly-nu=0.75-shrinking=False-scaling=minmax,0.442800911801145,0.7885757141929873,17440.348859899783,,0.1543714483035771,0.500240350057317
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=40-scaling=minmax,0.5470688776679979,3.3503311216996554,108.20156334298068,,4.2755974650031804e-05,0.28044861348817984
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=False-scaling=minmax,0.4213426335611619,1.0210972215430474,18502.606558295854,,0.16382999020867442,0.4680429224545834
sklearn.ensemble.IsolationForest-n_estimators=300-random_state=42-scaling=minmax,0.5883033223939074,2.0728641212852836,8627.124277553487,,0.07589684260570943,0.3645244322301571
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=50-scaling=none,0.3597915074060433,2.7457478524323142,414.64649006487326,,0.0027713991140502388,0.26777388106513816
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.75-shrinking=False-scaling=standard,-0.05616072381200579,4.946653398325481,340.5304969307787,,0.0021114564015095455,0.16271503070547783
sklearn.cluster.KMeans-n_clusters=4-random_state=42-scaling=none,0.5195518591484705,0.585145142878417,90296.93396748923,47028205721722.28,0.8031001554176208,0.759458400082583
sklearn.neighbors.LocalOutlierFactor-n_neighbors=20-leaf_size=50-scaling=none,0.4002556396663582,2.619236453519947,364.7071941791814,,0.0023267302511565295,0.2794252561470916
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.25-shrinking=True-scaling=none,0.40572248196284166,5.030935134281565,1511.1382164853144,,0.012534767229527285,0.24279220246407882
sklearn.neighbors.LocalOutlierFactor-n_neighbors=20-leaf_size=20-scaling=standard,0.5888923335633219,2.0805577455945503,402.8373171185928,,0.0026662480218570834,0.3397047493303487
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=minmax,0.6694536461302952,2.1189169567274555,107.56896860523167,,3.712323238327529e-05,0.3497691444293976
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=none,0.23006503464424877,5.653641453057211,854.6081370822135,,0.006688900188631798,0.2095687998061669
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=False-scaling=standard,0.246104140684747,5.6534922098448614,811.1577636820649,,0.006302009909354015,0.2121133670189349
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=True-scaling=none,0.5279064213842781,0.636546685950761,62818.1784732845,,0.5584241594382072,0.6714775116274586
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=standard,-0.21014934449923597,1.539157433521068,787.8039958467515,,0.006094063577643963,0.2514449921316911
sklearn.cluster.KMeans-n_clusters=6-random_state=42-scaling=minmax,0.5083322822760431,0.5546019796148473,73989.71927051476,713.0409231408648,0.6578976553089879,0.7138861822132071
sklearn.neighbors.LocalOutlierFactor-n_neighbors=30-leaf_size=30-scaling=standard,0.6171252005278343,3.0459743686772485,543.0180184418931,,0.003914443294769091,0.301086741192914
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=30-scaling=minmax,0.5470688776679979,3.3503311216996554,108.20156334298068,,4.2755974650031804e-05,0.28044861348817984
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=True-scaling=standard,0.246104140684747,5.6534922098448614,811.1577636820649,,0.006302009909354015,0.2121133670189349
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=30-scaling=none,0.3597915074060433,2.7457478524323142,414.64649006487326,,0.0027713991140502388,0.26777388106513816
sklearn.linear_model.SGDOneClassSVM-nu=0.25-learning_rate=optimal-random_state=42-scaling=minmax,0.46991321050145346,1.2403812456762753,17499.65842525946,,0.1548995518044269,0.4461984732681432
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=minmax,0.2039724190308871,3.708731395563255,1524.3243109226491,,0.012652178689089707,0.220827658376652
sklearn.neighbors.LocalOutlierFactor-n_neighbors=40-leaf_size=20-scaling=none,0.38575443194176307,6.434730640251288,103.39978060731956,,0.0,0.2320272516809676
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=10-scaling=none,0.3689147139180533,3.263423827321179,165.69990727643292,,0.0005547320200008244,0.25290236671954164
sklearn.neighbors.LocalOutlierFactor-n_neighbors=40-leaf_size=40-scaling=minmax,0.6032476854750004,2.5144224992957764,800.9998102326401,,0.006211561585452494,0.31918065066426055
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=none,0.9628318616856973,2.03200918876565,767.1351528296469,,0.005910024320406904,0.40636392745053934
