Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Overall,Inertia
sklearn.svm.OneClassSVM-kernel=poly-nu=0.5-shrinking=False-scaling=minmax,0.6655968039518011,0.5368229159312047,147911.8478676341,0.7853261629939745,
sklearn.svm.OneClassSVM-kernel=linear-nu=0.5-shrinking=False-scaling=standard,0.14059808564106346,2.51149906141934,9213.74020617556,0.3602054958720423,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=minmax,0.6553812505951303,1.645091034813321,39423.31121875322,0.5756188271285948,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.75-shrinking=False-scaling=none,0.5817095888075214,0.5819029738390488,135488.32913160787,0.7539222342584925,
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=standard,-0.1071489977823134,1.0674388708597822,1190.3930136723566,0.4791031957091432,
sklearn.svm.OneClassSVM-kernel=poly-nu=0.75-shrinking=False-scaling=minmax,0.21746740182508026,0.9646888534776987,27610.888319045735,0.5803072415837791,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=False-scaling=minmax,0.6622445954770271,0.5402269549995451,145680.9586989466,0.7836959371955484,
sklearn.ensemble.IsolationForest-n_estimators=300-random_state=42-scaling=minmax,0.27688481239269347,3.1624764737563718,6508.720871015783,0.35982367849667696,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.75-shrinking=False-scaling=standard,-0.06169517546239923,6.36204570477078,840.4303196774418,0.23629906532220588,
sklearn.cluster.KMeans-n_clusters=4-random_state=42-scaling=none,0.5098418524932499,0.6027097758439317,181040.9675560973,0.7311844478650988,90618310729976.77
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.25-shrinking=True-scaling=none,0.311571363706529,3.523986545672688,5106.624092195879,0.3565302333190689,
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=minmax,0.6318795555756606,1.3059611135116027,23783.609870473545,0.6211333696868904,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=none,0.21612069275727466,3.8607166817175322,3573.505143971134,0.32464899299873995,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=False-scaling=standard,0.16436961627965313,7.988053514819306,915.79535235887,0.2914317831138656,
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=True-scaling=none,0.5294527145946778,0.6282417557247713,119175.25286691281,0.7302724998237228,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=standard,0.3115206402677319,1.2768902851810464,6211.764509904083,0.5459601908276774,
sklearn.cluster.KMeans-n_clusters=6-random_state=42-scaling=minmax,0.5871911863270685,0.6197311466719784,165583.32569803268,0.7466403969692101,5139.0469781735555
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=True-scaling=standard,0.16313959585569612,8.027433322197755,907.0350647610048,0.2911111773311337,
sklearn.linear_model.SGDOneClassSVM-nu=0.25-learning_rate=optimal-random_state=42-scaling=minmax,0.3492952467892136,1.244110015749735,34972.70825916886,0.5610452000376942,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=minmax,0.08047651084483623,4.987224757985912,3099.890719610079,0.2768974466354156,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=none,0.9345822537486425,2.0627767430910007,703.6772647820411,0.59641327828617,
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=minmax,0.6987880722814767,1.108664972149638,39506.347203296595,0.672816880856965,
sklearn.svm.OneClassSVM-kernel=poly-nu=0.75-shrinking=False-scaling=standard,0.3231884157812584,4.370738337167335,3702.091493745753,0.34328118454208056,
sklearn.svm.OneClassSVM-kernel=linear-nu=0.25-shrinking=True-scaling=standard,0.2340040191112804,2.4926052654214526,8087.739174932897,0.38487921182739276,
sklearn.linear_model.SGDOneClassSVM-nu=0.75-learning_rate=optimal-random_state=42-scaling=minmax,0.34251822390377323,0.8686038343985832,43675.801571710486,0.6311744540203386,
sklearn.cluster.DBSCAN-eps=1.0-min_samples=7-scaling=standard,0.43524287561368186,1.2194399959265756,5782.57663610877,0.586845734806037,
sklearn.cluster.DBSCAN-eps=0.5-min_samples=5-scaling=standard,0.4094158481865039,1.0727872528733842,3482.034914156397,0.6072273492592671,
sklearn.cluster.DBSCAN-eps=0.7-min_samples=11-scaling=minmax,0.6562649114056758,1.096310324229832,39440.84048880643,0.6644980945283225,
sklearn.cluster.DBSCAN-eps=0.7-min_samples=5-scaling=none,0.9514086565292181,2.1067091375696263,745.3137062639344,0.5962986008354505,
sklearn.cluster.DBSCAN-eps=1.0-min_samples=9-scaling=none,0.9474944575964295,1.9139021096413467,832.2477860996597,0.6154167191570772,
sklearn.cluster.KMeans-n_clusters=7-random_state=42-scaling=standard,0.47933778964710877,0.6950794117523075,48557.65507208291,0.7027385344031085,333701.2632911379
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=none,0.9205282552616172,1.961156326419565,695.6077239205141,0.6034740248168421,
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.25-shrinking=True-scaling=standard,0.2793647617785665,4.768034569000166,2991.384968702659,0.3282666628176323,
sklearn.cluster.DBSCAN-eps=0.7-min_samples=3-scaling=none,0.9706001224893278,1.9151272220560742,853.1288403053564,0.6210559610052675,
sklearn.cluster.KMeans-n_clusters=5-random_state=42-scaling=minmax,0.694526040250277,0.6252898443510302,157845.24326311078,0.7722108270365414,6552.259708378774
