Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,Inertia,ch_scaled,overall
sklearn.svm.OneClassSVM-kernel=poly-nu=0.5-shrinking=False-scaling=minmax,0.6655968039518011,0.5368229159312047,147911.8478676341,,0.7473431047400855,0.7726651435760115
sklearn.svm.OneClassSVM-kernel=linear-nu=0.5-shrinking=False-scaling=standard,0.14059808564106346,2.51149906141934,9213.74020617556,,0.04646509321148935,0.255625361651858
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=minmax,0.6553812505951303,1.645091034813321,39423.31121875322,,0.1991219997650239,0.4501198846740712
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.75-shrinking=False-scaling=none,0.5817095888075214,0.5819029738390488,135488.32913160787,,0.6845637975476059,0.7308027553548636
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=standard,-0.1071489977823134,1.0674388708597822,1190.3930136723566,,0.005921009943885997,0.3213758004540575
sklearn.svm.OneClassSVM-kernel=poly-nu=0.75-shrinking=False-scaling=minmax,0.21746740182508026,0.9646888534776987,27610.888319045735,,0.13943072053366043,0.4333484012337396
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=40-scaling=minmax,0.19694997287728952,4.686299924175929,110.90486652802237,,0.0004660724627926562,0.2057380165017544
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=False-scaling=minmax,0.6622445954770271,0.5402269549995451,145680.9586989466,,0.7360698351125947,0.7678205698345639
sklearn.ensemble.IsolationForest-n_estimators=300-random_state=42-scaling=minmax,0.27688481239269347,3.1624764737563718,6508.720871015783,,0.03279591917055166,0.25081442538796855
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=50-scaling=none,0.18183989912822315,11.242773970222775,65.4611142662321,,0.00023643323224609313,0.19706086190380898
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.75-shrinking=False-scaling=standard,-0.06169517546239923,6.36204570477078,840.4303196774418,,0.0041525564212536534,0.15891689568855513
sklearn.cluster.KMeans-n_clusters=4-random_state=42-scaling=none,0.5098418524932499,0.6027097758439317,181040.9675560973,90618310729976.77,0.9147532585081402,0.7923740514127792
sklearn.neighbors.LocalOutlierFactor-n_neighbors=20-leaf_size=50-scaling=none,0.0833575506821802,17.33015175185472,18.672883844657107,,0.0,0.1805596116193485
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.25-shrinking=True-scaling=none,0.311571363706529,3.523986545672688,5106.624092195879,,0.025710755437037967,0.2462570740250586
sklearn.neighbors.LocalOutlierFactor-n_neighbors=20-leaf_size=20-scaling=standard,0.36425016077483013,3.3337308455646535,305.3796971988274,,0.0014488049233220381,0.2508126133455532
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=minmax,0.6318795555756606,1.3059611135116027,23783.609870473545,,0.120090476071573,0.45411907181511796
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=none,0.21612069275727466,3.8607166817175322,3573.505143971134,,0.017963502226551936,0.2224204960746773
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=False-scaling=standard,0.16436961627965313,7.988053514819306,915.79535235887,,0.004533395750175695,0.19579898732596898
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.5-shrinking=True-scaling=none,0.5294527145946778,0.6282417557247713,119175.25286691281,,0.6021295333237476,0.6875581776570644
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=standard,0.3115206402677319,1.2768902851810464,6211.764509904083,,0.031295320587081794,0.3744052340808122
sklearn.cluster.KMeans-n_clusters=6-random_state=42-scaling=minmax,0.5871911863270685,0.6197311466719784,165583.32569803268,5139.0469781735555,0.836641729295027,0.7766408410778158
sklearn.neighbors.LocalOutlierFactor-n_neighbors=30-leaf_size=30-scaling=standard,0.35663667285149464,4.475292647773507,383.916247982051,,0.0018456707672282573,0.2342271276355915
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=30-scaling=minmax,0.19694997287728952,4.686299924175929,110.90486652802237,,0.0004660724627926562,0.2057380165017544
sklearn.svm.OneClassSVM-kernel=sigmoid-nu=0.25-shrinking=True-scaling=standard,0.16313959585569612,8.027433322197755,907.0350647610048,,0.004489127713246187,0.19557049412517116
sklearn.neighbors.LocalOutlierFactor-n_neighbors=50-leaf_size=30-scaling=none,0.18183989912822315,11.242773970222775,65.4611142662321,,0.00023643323224609313,0.19706086190380898
sklearn.linear_model.SGDOneClassSVM-nu=0.25-learning_rate=optimal-random_state=42-scaling=minmax,0.3492952467892136,1.244110015749735,34972.70825916886,,0.17663193263281335,0.43290744423606725
sklearn.svm.OneClassSVM-kernel=rbf-nu=0.5-shrinking=True-scaling=minmax,0.08047651084483623,4.987224757985912,3099.890719610079,,0.015570203993618088,0.18978836575481642
sklearn.neighbors.LocalOutlierFactor-n_neighbors=40-leaf_size=20-scaling=none,0.16018487143307658,20.36750105413339,19.233190926798716,,2.831379030313375e-06,0.19336508998337076
sklearn.neighbors.LocalOutlierFactor-n_neighbors=10-leaf_size=10-scaling=none,0.10122806678694325,14.129959220709948,25.565226794602502,,3.4828821409170675e-05,0.18355010753216813
sklearn.neighbors.LocalOutlierFactor-n_neighbors=40-leaf_size=40-scaling=minmax,0.2642961432214797,3.140943833714176,817.1394920473784,,0.004034861744437596,0.23969404652292944
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=none,0.9345822537486425,2.0627767430910007,703.6772647820411,,0.003461507272843509,0.3987626879483945
