Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,overall
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=standard,-0.3765841635278522,1.4719304255352303,451.399302748818,0.28740265746820925
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=minmax,0.6811878422554196,1.7730757193036584,106.75277504581044,0.3909404295588111
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=standard,-0.36928861474495334,1.4560490070195689,520.8083552348606,0.29931631246520185
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=minmax,0.6694536461302952,2.1189169567274555,107.56896860523167,0.3638325274626633
sklearn.cluster.DBSCAN-eps=0.2-min_samples=7-scaling=standard,-0.39213356130723964,1.5332723765566743,548.5422935594919,0.2914332589645325
sklearn.cluster.DBSCAN-eps=0.2-min_samples=7-scaling=minmax,0.6696714473044013,1.6888341336491948,151.57457510923996,0.4020654283066292
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=standard,-0.37262144315066564,1.4625483869181255,540.7964845173917,0.30071335579472347
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=minmax,0.7240117670399939,1.3192533400680457,291.4249118290779,0.4660975772150566
sklearn.cluster.DBSCAN-eps=0.2-min_samples=11-scaling=standard,-0.48385774862632036,1.4453657774452922,495.3920317297038,0.2779912722830773
sklearn.cluster.DBSCAN-eps=0.2-min_samples=11-scaling=minmax,0.713745114561725,1.5478945134294246,269.30212645744905,0.43779031429195053
sklearn.cluster.DBSCAN-eps=0.2-min_samples=13-scaling=standard,-0.3892293285385537,1.3025676528984265,581.085475904163,0.3203208813696591
sklearn.cluster.DBSCAN-eps=0.2-min_samples=13-scaling=minmax,0.713745114561725,1.5478945134294246,269.30212645744905,0.43779031429195053
sklearn.cluster.DBSCAN-eps=0.2-min_samples=15-scaling=standard,-0.390398315068637,1.195368231257918,633.6891130020674,0.3393874143358377
sklearn.cluster.DBSCAN-eps=0.2-min_samples=15-scaling=minmax,0.7168520641831208,1.5736252993110331,280.0555536244556,0.43725500543887036
sklearn.cluster.DBSCAN-eps=0.5-min_samples=3-scaling=standard,-0.039670742502119535,1.3991625601419087,696.2907698891152,0.3831328629319917
sklearn.cluster.DBSCAN-eps=0.5-min_samples=3-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.3936831625709014
sklearn.cluster.DBSCAN-eps=0.5-min_samples=5-scaling=standard,-0.03820321558151589,1.480520275866483,731.2774156720068,0.37955544537947977
sklearn.cluster.DBSCAN-eps=0.5-min_samples=5-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.3936831625709014
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=standard,-0.21014934449923597,1.539157433521068,787.8039958467515,0.35250041163350937
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.3936831625709014
sklearn.cluster.DBSCAN-eps=0.5-min_samples=9-scaling=standard,-0.20851350802862806,1.5335806336149909,806.2636190793871,0.35573029264740447
sklearn.cluster.DBSCAN-eps=0.5-min_samples=9-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.3936831625709014
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=standard,-0.205989193359081,1.5258553176224923,821.0252978158958,0.3588363009120808
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.3936831625709014
sklearn.cluster.DBSCAN-eps=0.5-min_samples=13-scaling=standard,-0.09980396519182956,1.4752628515138717,846.9937591512535,0.3849606266797645
sklearn.cluster.DBSCAN-eps=0.5-min_samples=13-scaling=minmax,0.6989942627416426,1.875093677819723,167.22406137995543,0.3936831625709014
sklearn.cluster.DBSCAN-eps=0.5-min_samples=15-scaling=standard,-0.10657314273812406,1.4635891789227435,846.0848722871235,0.3848968190792021
sklearn.cluster.DBSCAN-eps=0.5-min_samples=15-scaling=minmax,0.6983885138954238,2.0177879664135943,165.03813210406398,0.3828924834533458
sklearn.cluster.DBSCAN-eps=0.7-min_samples=3-scaling=standard,0.3474758333689327,1.3231200575747044,608.061190950935,0.444345912573265
sklearn.cluster.DBSCAN-eps=0.7-min_samples=3-scaling=minmax,0.6993311869045199,1.1134665087015554,173.27588914276083,0.4707123838846931
sklearn.cluster.DBSCAN-eps=0.7-min_samples=5-scaling=standard,0.5300739784135114,1.4397481180772644,819.6564507380199,0.4899900080985464
sklearn.cluster.DBSCAN-eps=0.7-min_samples=5-scaling=minmax,0.6993311869045199,1.1134665087015554,173.27588914276083,0.4707123838846931
sklearn.cluster.DBSCAN-eps=0.7-min_samples=7-scaling=standard,0.49331966471624494,1.890198520026871,1400.6670726938519,0.5196497815087576
sklearn.cluster.DBSCAN-eps=0.7-min_samples=7-scaling=minmax,0.6993311869045199,1.1134665087015554,173.27588914276083,0.4707123838846931
sklearn.cluster.DBSCAN-eps=0.7-min_samples=9-scaling=standard,0.6814351249974557,2.0622432438431413,2001.1221934644514,0.6173067533515294
sklearn.cluster.DBSCAN-eps=0.7-min_samples=9-scaling=minmax,0.6993311869045199,1.1134665087015554,173.27588914276083,0.4707123838846931
sklearn.cluster.DBSCAN-eps=0.7-min_samples=11-scaling=standard,0.6712267140057511,1.8611412630156727,1344.3239668301337,0.5441604388156404
sklearn.cluster.DBSCAN-eps=0.7-min_samples=11-scaling=minmax,0.6993311869045199,1.1134665087015554,173.27588914276083,0.4707123838846931
