JAMNYALA,KWHLWBP,KWHWBP,BLOK3,PEMKWH,RPLWBP,RPWBP,RPBLOK3,RPBEBAN,RPPTL,RPBPJU,RPPLN,RPTAG,RPTAG_MAT,RPREDUKSI,RPANGS,RPBK
128.88,30,28,0,58,5070.0,10080.0,0.0,4950.0,20100.0,0.0,20100.0,20100.0,20100.0,0.0,0,1
71.11,30,2,0,32,5070.0,720.0,0.0,4950.0,10740.0,0.0,10740.0,10740.0,10740.0,0.0,0,1
140.0,30,30,3,63,5070.0,10800.0,1485.0,4950.0,22305.0,0.0,22305.0,22305.0,22305.0,0.0,0,1
84.44,30,8,0,38,5070.0,2880.0,0.0,4950.0,12900.0,0.0,12900.0,12900.0,12900.0,0.0,0,1
420.0,30,30,129,189,5070.0,10800.0,63855.0,4950.0,84675.0,0.0,84675.0,84675.0,84675.0,0.0,0,1
175.55,30,30,19,79,5070.0,10800.0,9405.0,4950.0,30225.0,0.0,30225.0,30225.0,30225.0,0.0,0,1
337.77,30,30,92,152,5070.0,10800.0,45540.0,4950.0,66360.0,3982.0,66360.0,70342.0,70342.0,0.0,0,1
351.11,30,30,98,158,5070.0,10800.0,48510.0,4950.0,69330.0,0.0,69330.0,69330.0,69330.0,0.0,0,1
175.55,30,30,19,79,5070.0,10800.0,9405.0,4950.0,30225.0,0.0,30225.0,30225.0,30225.0,0.0,0,1
166.66,30,30,15,75,5070.0,10800.0,7425.0,4950.0,28245.0,0.0,28245.0,28245.0,28245.0,0.0,0,1
224.44,30,30,41,101,5070.0,10800.0,20295.0,4950.0,41115.0,0.0,41115.0,41115.0,41115.0,0.0,0,1
202.22,30,30,31,91,5070.0,10800.0,15345.0,4950.0,36165.0,0.0,36165.0,36165.0,36165.0,0.0,0,1
302.22,30,30,76,136,5070.0,10800.0,37620.0,4950.0,58440.0,0.0,58440.0,58440.0,58440.0,0.0,0,1
84.44,30,8,0,38,5070.0,2880.0,0.0,4950.0,12900.0,0.0,12900.0,12900.0,12900.0,0.0,0,1
26.66,12,0,0,12,2028.0,0.0,0.0,4950.0,6978.0,0.0,6978.0,6978.0,6978.0,0.0,0,1
