Name,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Index,overall
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=standard,-0.1071489977823134,1.0674388708597822,1190.3930136723566,0.32716197879211556
sklearn.cluster.DBSCAN-eps=0.2-min_samples=3-scaling=minmax,0.6411262243875736,1.3445124364164025,23822.37550483386,0.5666586042442634
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=standard,-0.05495439552586405,1.0952503964651132,1465.3583439598262,0.33414712956434345
sklearn.cluster.DBSCAN-eps=0.2-min_samples=5-scaling=minmax,0.6318795555756606,1.3059611135116027,23783.609870473545,0.5691277977297656
sklearn.cluster.DBSCAN-eps=0.2-min_samples=7-scaling=standard,-0.17381033487710315,1.2173998795822516,1649.299444519811,0.30071251014385314
sklearn.cluster.DBSCAN-eps=0.2-min_samples=7-scaling=minmax,0.6317894989448523,1.2633503665873496,26403.847858256722,0.5910162095910504
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=standard,-0.3489056384105112,1.351347533923135,1528.6499897435062,0.25558068302797476
sklearn.cluster.DBSCAN-eps=0.2-min_samples=9-scaling=minmax,0.6987880722814767,1.108664972149638,39506.347203296595,0.7060757205932938
sklearn.cluster.DBSCAN-eps=0.2-min_samples=11-scaling=standard,-0.41844263755441174,1.3849003301382716,1492.3957852851152,0.24013684148932993
sklearn.cluster.DBSCAN-eps=0.2-min_samples=11-scaling=minmax,0.6989152520435761,1.236921074014931,39377.07150641802,0.6898225436065939
sklearn.cluster.DBSCAN-eps=0.2-min_samples=13-scaling=standard,-0.37499477817298316,1.4096188617668137,1559.3297197322906,0.24519516922918347
sklearn.cluster.DBSCAN-eps=0.2-min_samples=13-scaling=minmax,0.6993625722273079,1.3715643302509086,47147.04099460962,0.7254773155498283
sklearn.cluster.DBSCAN-eps=0.2-min_samples=15-scaling=standard,-0.3821904986757794,1.3735266356816722,1712.1615665629963,0.24882980777267127
sklearn.cluster.DBSCAN-eps=0.2-min_samples=15-scaling=minmax,0.6993430913807392,1.368897246764136,47141.83811342295,0.7257273847864806
sklearn.cluster.DBSCAN-eps=0.5-min_samples=3-scaling=standard,0.05782327809406429,1.0938834249051506,1978.8244918901294,0.3564617715653236
sklearn.cluster.DBSCAN-eps=0.5-min_samples=3-scaling=minmax,0.6546045325817649,1.4542806731722522,39432.96465074362,0.659049288103302
sklearn.cluster.DBSCAN-eps=0.5-min_samples=5-scaling=standard,0.4094158481865039,1.0727872528733842,3482.034914156397,0.4275166714780159
sklearn.cluster.DBSCAN-eps=0.5-min_samples=5-scaling=minmax,0.6546045325817649,1.4542806731722522,39432.96465074362,0.659049288103302
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=standard,0.3115206402677319,1.2768902851810464,6211.764509904083,0.40446626405345737
sklearn.cluster.DBSCAN-eps=0.5-min_samples=7-scaling=minmax,0.6553638640940523,1.5986374639156877,39426.505612537396,0.645019401244305
sklearn.cluster.DBSCAN-eps=0.5-min_samples=9-scaling=standard,0.3159935506413645,1.314509585320345,8169.681151844376,0.4137436585509114
sklearn.cluster.DBSCAN-eps=0.5-min_samples=9-scaling=minmax,0.6553638640940523,1.5986374639156877,39426.505612537396,0.645019401244305
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=standard,0.31654955430627374,1.2845890437957115,8066.2811758733815,0.41652020525961436
sklearn.cluster.DBSCAN-eps=0.5-min_samples=11-scaling=minmax,0.6553812505951303,1.645091034813321,39423.31121875322,0.6407357291067669
sklearn.cluster.DBSCAN-eps=0.5-min_samples=13-scaling=standard,0.4666600249829663,1.286083944510833,11902.784455648492,0.46637860655641306
sklearn.cluster.DBSCAN-eps=0.5-min_samples=13-scaling=minmax,0.6553812505951303,1.645091034813321,39423.31121875322,0.6407357291067669
sklearn.cluster.DBSCAN-eps=0.5-min_samples=15-scaling=standard,0.4667674081225373,1.3035549604160688,11836.214247581685,0.4639965170139688
sklearn.cluster.DBSCAN-eps=0.5-min_samples=15-scaling=minmax,0.6744891583758971,1.4164392097892688,47267.65444256978,0.7173534509956294
sklearn.cluster.DBSCAN-eps=0.7-min_samples=3-scaling=standard,0.25458521943488305,1.2023473921767944,2231.2196153986683,0.3776808449327502
sklearn.cluster.DBSCAN-eps=0.7-min_samples=3-scaling=minmax,0.6562649114056758,1.096310324229832,39440.84048880643,0.7001028425841723
sklearn.cluster.DBSCAN-eps=0.7-min_samples=5-scaling=standard,0.4346015921513256,1.2287270341218608,4407.0733830256195,0.4187649796627286
sklearn.cluster.DBSCAN-eps=0.7-min_samples=5-scaling=minmax,0.6562649114056758,1.096310324229832,39440.84048880643,0.7001028425841723
sklearn.cluster.DBSCAN-eps=0.7-min_samples=7-scaling=standard,0.4672526230828439,1.2824409192630217,6982.7961955694145,0.43481772760926063
sklearn.cluster.DBSCAN-eps=0.7-min_samples=7-scaling=minmax,0.6562649114056758,1.096310324229832,39440.84048880643,0.7001028425841723
sklearn.cluster.DBSCAN-eps=0.7-min_samples=9-scaling=standard,0.46701440605654126,1.2342613920616623,9437.432029071257,0.45631342238971806
sklearn.cluster.DBSCAN-eps=0.7-min_samples=9-scaling=minmax,0.6562649114056758,1.096310324229832,39440.84048880643,0.7001028425841723
sklearn.cluster.DBSCAN-eps=0.7-min_samples=11-scaling=standard,0.4661572328682234,1.2822867789758157,10531.67389958037,0.45778679987984877
sklearn.cluster.DBSCAN-eps=0.7-min_samples=11-scaling=minmax,0.6562649114056758,1.096310324229832,39440.84048880643,0.7001028425841723
